Page;product;experimental;unreleased;season;alternateRecipe;mainRecipe;recipeName;craftedIn;avgPower;inCraftBench;inWorkShop;researchTier;producedIn;craftingTime;craftingClicks;productCount;productsPerMinute;product2;productCount2;productsPerMinute2;product3;productCount3;productsPerMinute3;product4;productCount4;productsPerMinute4;quantity1;ingredient1;quantity2;ingredient2;quantity3;ingredient3;quantity4;ingredient4;quantity5;ingredient5;quantity6;ingredient6;quantity7;ingredient7;quantity8;ingredient8;quantity9;ingredient9;quantity10;ingredient10
Catwalk;"Catwalk Ramp";0;0;;0;1;"Catwalk Ramp";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
Catwalk;"Catwalk Stairs";0;0;;0;1;"Catwalk Stairs";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
Catwalk;"Catwalk Straight";0;0;;0;1;"Catwalk Straight";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
Catwalk;"Catwalk T-Crossing";0;0;;0;1;"Catwalk T-Crossing";"Build Gun";;;;"[[AWESOME Shop]] - Modern Catwalks";;;;1;;;;;;;;;;;2;"Iron Rod";1;"Iron Plate";;;;;;;;;;;;;;;;
Chainsaw;Chainsaw;0;0;;0;0;Chainsaw;"Equipment Workshop";;0;1;"[[Tier 2]] - Obstacle Clearing";;;15;1;0;;;0;;;0;;;0;5;"Reinforced Iron Plate";25;"Iron Rod";160;Screw;15;Cable;;;;;;;;;;;;
"Circuit Board";"Circuit Board";0;0;;0;0;"Circuit Board";Assembler;;1;0;"[[Tier 5]] - Oil Processing";;8;6;1;7.5;;;0;;;0;;;0;2;"Copper Sheet";4;Plastic;;;;;;;;;;;;;;;;
"Circuit Board";"Circuit Board";0;0;;1;0;"Electrode Circuit Board";Assembler;;0;0;"[[Tier 5]] - Oil Processing";;12;;1;5;;;0;;;0;;;0;6;Rubber;9;"Petroleum Coke";;;;;;;;;;;;;;;;
"Circuit Board";"Circuit Board";0;0;;1;0;"Silicon Circuit Board";Assembler;;0;0;"[[Tier 5]] - Oil Processing&lt;/br&gt;[[Quartz Research]] - Quartz";;24;;5;12.5;;;0;;;0;;;0;11;"Copper Sheet";11;Silica;;;;;;;;;;;;;;;;
"Circuit Board";"Circuit Board";0;0;;1;0;"Caterium Circuit Board";Assembler;;0;0;"[[Tier 5]] - Oil Processing&lt;/br&gt;[[Caterium Research]] - Caterium Ingots";;48;;7;8.8;;;0;;;0;;;0;10;Plastic;30;Quickwire;;;;;;;;;;;;;;;;
Coal;Coal;0;0;;0;0;Coal;Miner;;0;0;"[[Tier 3]] - Coal Power";;1;;1;60;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;
Coal;Coal;0;0;;1;0;Biocoal;Constructor;;0;0;"[[Tier 3]] - Coal Power";;8;;6;45;;;0;;;0;;;0;5;Biomass;;;;;;;;;;;;;;;;;;
Coal;Coal;0;0;;1;0;Charcoal;Constructor;;0;0;"[[Tier 3]] - Coal Power";;4;;10;150;;;0;;;0;;;0;1;Wood;;;;;;;;;;;;;;;;;;
"Coal Generator";"Coal Generator";0;0;;0;1;"Coal Generator";"Build Gun";;;;"[[Tier 3]] - Coal Power";;;;1;;;;;;;;;;;20;"Reinforced Iron Plate";10;Rotor;30;Cable;;;;;;;;;;;;;;
"Color Cartridge";"Color Cartridge";0;0;;0;0;"Color Cartridge";Constructor;;1;1;"[[Tier 2]] - Resource Sink Bonus Program";;6;2;10;100;;;0;;;0;;;0;5;"Flower Petals";;;;;;;;;;;;;;;;;;
"Color Gun";"Color Gun";0;1;;0;0;"Color Gun";"Equipment Workshop";;0;1;"Flower Petals Research - Color Gun";;;20;1;0;;;0;;;0;;;0;5;"Iron Plate";80;Screw;40;Wire;;;;;;;;;;;;;;
"Compacted Coal";"Compacted Coal";0;0;;0;0;"Compacted Coal";Assembler;;0;0;"[[Sulfur Research]] - Compacted Coal";;12;;5;25;;;0;;;0;;;0;5;Coal;5;Sulfur;;;;;;;;;;;;;;;;
Computer;Computer;0;0;;0;0;Computer;Manufacturer;;1;0;"[[Tier 5]] - Industrial Manufacturing";;24;18;1;2.5;;;0;;;0;;;0;10;"Circuit Board";9;Cable;18;Plastic;52;Screw;;;;;;;;;;;;
Computer;Computer;0;0;;1;0;"Crystal Computer";Assembler;;0;0;"[[Tier 5]] - Industrial Manufacturing&lt;/br&gt;[[Quartz Research]] - Quartz Crystal";;64;;3;2.8;;;0;;;0;;;0;8;"Circuit Board";3;"Crystal Oscillator";;;;;;;;;;;;;;;;
Computer;Computer;0;0;;1;0;"Caterium Computer";Manufacturer;;0;0;"[[Tier 5]] - Industrial Manufacturing&lt;/br&gt;[[Caterium Research]] - Caterium Ingots";;16;;1;3.8;;;0;;;0;;;0;7;"Circuit Board";28;Quickwire;12;Rubber;;;;;;;;;;;;;;
Concrete;Concrete;0;0;;0;0;Concrete;Constructor;;1;0;"[[Tier 0]] - HUB Upgrade 3";;4;2;1;15;;;0;;;0;;;0;3;Limestone;;;;;;;;;;;;;;;;;;
Concrete;Concrete;0;0;;1;0;"Rubber Concrete";Assembler;;0;0;"[[Tier 5]] - Oil Processing";;12;;9;45;;;0;;;0;;;0;10;Limestone;2;Rubber;;;;;;;;;;;;;;;;
Concrete;Concrete;0;0;;1;0;"Wet Concrete";Refinery;;0;0;"[[Tier 3]] - Coal Power";;3;;4;80;;;0;;;0;;;0;6;Limestone;5;Water;;;;;;;;;;;;;;;;
Concrete;Concrete;0;0;;1;0;"Fine Concrete";Assembler;;0;0;"[[Quartz Research]] - Quartz";;24;;10;25;;;0;;;0;;;0;3;Silica;12;Limestone;;;;;;;;;;;;;;;;
Constructor;Constructor;0;0;;0;1;Constructor;"Build Gun";;;;"[[Tier 0]] - HUB Upgrade 3";;;;1;;;;;;;;;;;2;"Reinforced Iron Plate";8;Cable;;;;;;;;;;;;;;;;
"Conveyor Belt";"Conveyor Belt Mk.1";0;0;;0;1;"Conveyor Belt Mk.1";"Build Gun";;;;"[[Tier 0]] - HUB Upgrade 4";;;;1;;;;;;;;;;;1;"Iron Plate";;;;;;;;;;;;;;;;;;
"Conveyor Belt";"Conveyor Belt Mk.2";0;0;;0;1;"Conveyor Belt Mk.2";"Build Gun";;;;"[[Tier 2]] - Logistics Mk.2";;;;1;;;;;;;;;;;1;"Reinforced Iron Plate";;;;;;;;;;;;;;;;;;
"Conveyor Belt";"Conveyor Belt Mk.3";0;0;;0;1;"Conveyor Belt Mk.3";"Build Gun";;;;"[[Tier 4]] - Logistics Mk.3";;;;1;;;;;;;;;;;1;"Steel Beam";;;;;;;;;;;;;;;;;;
"Conveyor Belt";"Conveyor Belt Mk.4";0;0;;0;1;"Conveyor Belt Mk.4";"Build Gun";;;;"[[Tier 6]] - Expanded power Infrastructure";;;;1;;;;;;;;;;;1;"Encased Industrial Beam";;;;;;;;;;;;;;;;;;
"Conveyor Belt";"Conveyor Belt Mk.5";0;0;;0;1;"Conveyor Belt Mk.5";"Build Gun";;;;"[[Tier 7]] - Logistics Mk.5";;;;1;;;;;;;;;;;1;"Alclad Aluminum Sheet";;;;;;;;;;;;;;;;;;
"Conveyor Lift";"Conveyor Lift Mk.1";0;0;;0;1;"Conveyor Lift Mk.1";"Build Gun";;;;"[[Tier 1]] - Logistics";;;;1;;;;;;;;;;;2;"Iron Plate";;;;;;;;;;;;;;;;;;
"Conveyor Lift";"Conveyor Lift Mk.2";0;0;;0;1;"Conveyor Lift Mk.2";"Build Gun";;;;"[[Tier 2]] - Logistics Mk.2";;;;1;;;;;;;;;;;2;"Reinforced Iron Plate";;;;;;;;;;;;;;;;;;
"Conveyor Lift";"Conveyor Lift Mk.3";0;0;;0;1;"Conveyor Lift Mk.3";"Build Gun";;;;"[[Tier 4]] - Logistics Mk.3";;;;1;;;;;;;;;;;2;"Steel Beam";;;;;;;;;;;;;;;;;;
"Conveyor Lift";"Conveyor Lift Mk.4";0;0;;0;1;"Conveyor Lift Mk.4";"Build Gun";;;;"[[Tier 6]] - Expanded Power Infrastructure";;;;1;;;;;;;;;;;2;"Encased Industrial Beam";;;;;;;;;;;;;;;;;;
"Conveyor Lift";"Conveyor Lift Mk.5";0;0;;0;1;"Conveyor Lift Mk.5";"Build Gun";;;;"[[Tier 7]] - Logistics Mk.5";;;;1;;;;;;;;;;;2;"Alclad Aluminum Sheet";;;;;;;;;;;;;;;;;;
"Conveyor Merger";"Conveyor Merger";0;0;;0;1;"Conveyor Merger";"Build Gun";;;;"[[Tier 1]] - Logistics";;;;1;;;;;;;;;;;2;"Iron Plate";2;"Iron Rod";;;;;;;;;;;;;;;;
"Conveyor Poles";"Conveyor Ceiling Mount";1;0;;0;1;"Conveyor Ceiling Mount";"Build Gun";;;;"[[AWESOME Shop]] - Conveyor Ceiling Mount";;;;1;;;;;;;;;;;2;"Iron Rod";2;"Iron Plate";2;Concrete;;;;;;;;;;;;;;
"Conveyor Poles";"Conveyor Lift Floor Hole";0;0;;0;1;"Conveyor Lift Floor Hole";"Build Gun";;;;"[[AWESOME Shop]] - Conveyor Lift Floor Hole";;;;1;;;;;;;;;;;2;"Iron Rod";2;"Iron Plate";2;Concrete;;;;;;;;;;;;;;
"Conveyor Poles";"Conveyor Pole";0;0;;0;1;"Conveyor Pole";"Build Gun";;;;"[[Tier 0]] - HUB Upgrade 4";;;;1;;;;;;;;;;;1;"Iron Rod";1;"Iron Plate";1;Concrete;;;;;;;;;;;;;;
"Conveyor Poles";"Conveyor Wall Mount";0;0;;0;1;"Conveyor Wall Mount";"Build Gun";;;;"[[AWESOME Shop]] - Conveyor Wall Mount";;;;1;;;;;;;;;;;2;"Iron Rod";2;"Iron Plate";2;Concrete;;;;;;;;;;;;;;
"Conveyor Poles";"Stackable Conveyor Pole";0;0;;0;1;"Stackable Conveyor Pole";"Build Gun";;;;"[[Tier 2]] - Logistics Mk.2";;;;1;;;;;;;;;;;2;"Iron Rod";2;"Iron Plate";2;Concrete;;;;;;;;;;;;;;
"Conveyor Splitter";"Conveyor Splitter";0;0;;0;1;"Conveyor Splitter";"Build Gun";;;;"[[Tier 1]] - Logistics";;;;1;;;;;;;;;;;2;"Iron Plate";2;Cable;;;;;;;;;;;;;;;;
"Cooling System";"Cooling System";0;0;;0;0;"Cooling System";Blender;;0;0;"[[Tier 8]] - Advanced Aluminum Production";;10;;1;6;;;0;;;0;;;0;2;"Heat Sink";2;Rubber;5;Water;25;"Nitrogen Gas";;;;;;;;;;;;
"Cooling System";"Cooling System";0;0;;1;0;"Cooling Device";Blender;;0;0;"[[Tier 8]] - Advanced Aluminum Production";;32;;2;3.8;;;0;;;0;;;0;5;"Heat Sink";1;Motor;24;"Nitrogen Gas";;;;;;;;;;;;;;
"Copper Ingot";"Copper Ingot";0;0;;0;0;"Copper Ingot";Smelter;;1;0;"[[Tier 0]] - HUB Upgrade 2";;2;3;1;30;;;0;;;0;;;0;1;"Copper Ore";;;;;;;;;;;;;;;;;;
"Copper Ingot";"Copper Ingot";0;0;;1;0;"Copper Alloy Ingot";Foundry;;0;0;;;12;;20;100;;;0;;;0;;;0;10;"Copper Ore";5;"Iron Ore";;;;;;;;;;;;;;;;
"Copper Ingot";"Copper Ingot";0;0;;1;0;"Pure Copper Ingot";Refinery;;0;0;"[[Tier 3]] - Coal Power";;24;;15;37.5;;;0;;;0;;;0;6;"Copper Ore";4;Water;;;;;;;;;;;;;;;;
"Copper Ore";"Copper Ore";0;0;;0;0;"Copper Ore";Miner;;0;0;"[[Tier 0]] - HUB Upgrade 2";;1;;1;60;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;
"Copper Powder";"Copper Powder";0;0;;0;0;"Copper Powder";Constructor;;1;0;"[[Tier 8]] - Particle Enrichment";;6;;5;50;;;0;;;0;;;0;30;"Copper Ingot";;;;;;;;;;;;;;;;;;
"Copper Sheet";"Copper Sheet";0;0;;0;0;"Copper Sheet";Constructor;;1;0;"[[Tier 2]] - Part Assembly";;6;3;1;10;;;0;;;0;;;0;2;"Copper Ingot";;;;;;;;;;;;;;;;;;
"Copper Sheet";"Copper Sheet";0;0;;1;0;"Steamed Copper Sheet";Refinery;;0;0;"[[Tier 3]] - Coal Power";;8;;3;22.5;;;0;;;0;;;0;3;"Copper Ingot";3;Water;;;;;;;;;;;;;;;;
"Craft Bench";"Craft Bench";0;0;;0;1;"Craft Bench";"Build Gun";;;;"The beginning";;;;1;;;;;;;;;;;3;"Iron Plate";3;"Iron Rod";;;;;;;;;;;;;;;;
"Crude Oil";"Crude Oil";0;0;;0;0;"Crude Oil";"Oil Extractor";;0;0;"[[Tier 5]] - Oil Processing";;1;;2;120;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;
"Crude Oil";"Crude Oil";0;0;;0;0;"Unpackage Oil";Packager;;0;0;"[[Tier 5]] - Alternative Fluid Transport";;2;;2;60;"Empty Canister";2;60;;;0;;;0;2;"Packaged Oil";;;;;;;;;;;;;;;;;;
"Crystal Oscillator";"Crystal Oscillator";0;0;;0;0;"Crystal Oscillator";Manufacturer;;1;0;"[[Quartz Research]] - Crystal Oscillator&lt;br/&gt;''or'' [[Tier 7]] – Bauxite Refinement";;120;18;2;1;;;0;;;0;;;0;36;"Quartz Crystal";28;Cable;5;"Reinforced Iron Plate";;;;;;;;;;;;;;
"Crystal Oscillator";"Crystal Oscillator";0;0;;1;0;"Insulated Crystal Oscillator";Manufacturer;;0;0;"[[Tier 5]] - Oil Processing&lt;/br&gt;[[Quartz Research]] - Crystal Oscillator&lt;/br&gt;[[Caterium Research]] - Caterium Electronics";;32;;1;1.9;;;0;;;0;;;0;10;"Quartz Crystal";7;Rubber;1;"AI Limiter";;;;;;;;;;;;;;
"Cyber Wagon";"Cyber Wagon";0;0;;0;1;"Cyber Wagon";"Build Gun";;;;"[[AWESOME Shop]] - Vehicles";;;;1;;;;;;;;;;;10;"Reinforced Iron Plate";;;;;;;;;;;;;;;;;;
